DATE,IRLTLT01EZA156N
1970/1/1,8.22575
1971/1/1,7.9161
1972/1/1,7.633708333
1973/1/1,8.399733333
1974/1/1,10.17245833
1975/1/1,9.548141667
1976/1/1,10.07396667
1977/1/1,10.14995833
1978/1/1,9.66
1979/1/1,10.40995833
1980/1/1,12.37215
1981/1/1,14.553175
1982/1/1,14.3112
1983/1/1,13.03795833
1984/1/1,12.18526667
1985/1/1,10.6877
1986/1/1,8.8103
1987/1/1,9.061458333
1988/1/1,8.970958333
1989/1/1,9.6807
1990/1/1,10.86625
1991/1/1,10.16043333
1992/1/1,9.830233333
1993/1/1,8.424183333
1994/1/1,8.175833333
1995/1/1,8.729166667
1996/1/1,7.2325
1997/1/1,5.958333333
1998/1/1,4.703333333
1999/1/1,4.65515
2000/1/1,5.438875
2001/1/1,5.0273
2002/1/1,4.922908333
2003/1/1,4.160858333
2004/1/1,4.140791667
2005/1/1,3.440875
2006/1/1,3.859516667
2007/1/1,4.3317
2008/1/1,4.356
2009/1/1,4.028791667
2010/1/1,3.781916667
2011/1/1,4.311008333
2012/1/1,3.04785
2013/1/1,3.011841667
2014/1/1,2.281666667
2015/1/1,1.269233333
2016/1/1,0.929416667
2017/1/1,1.170441667
2018/1/1,1.264733333
2019/1/1,0.58445
2020/1/1,0.213241667
,
Data source: https://fred.stlouisfed.org/series/IRLTLT01EZA156N,