,date,y2 yield,y5 yield,y10 yield
0,2021Feb,-0.5694,-0.3532,-0.3532
1,2021Jan,-0.5869,-0.4338,-0.4338
2,2020Dec,-0.6284,-0.4689,-0.4689
3,2020Nov,-0.6074,-0.4383,-0.4383
4,2020Oct,-0.5768,-0.3829,-0.3829
5,2020Sep,-0.4960,-0.2653,-0.2653
6,2020Aug,-0.4489,-0.2120,-0.2120
7,2020Jul,-0.4235,-0.1499,-0.1499
8,2020Jun,-0.3573,-0.0353,-0.0353
9,2020May,-0.2406,0.1235,0.1235
10,2020Apr,-0.1282,0.2205,0.2205
11,2020Mar,-0.2973,0.0639,0.0639
12,2020Feb,-0.4852,-0.2377,-0.2377
13,2020Jan,-0.4293,-0.1050,-0.1050
14,2019Dec,-0.4323,-0.0752,-0.0752
15,2019Nov,-0.4196,-0.1085,-0.1085
16,2019Oct,-0.4857,-0.2517,-0.2517
17,2019Sep,-0.5662,-0.3106,-0.3106
18,2019Aug,-0.5361,-0.2041,-0.2041
19,2019Jul,-0.4682,-0.0725,-0.0725
20,2019Jun,-0.3387,0.1399,0.1399
21,2019May,-0.2389,0.3134,0.3134
22,2019Apr,-0.2232,0.3345,0.3345
23,2019Mar,-0.2767,0.3394,0.3394
24,2019Feb,-0.1985,0.4687,0.4687
25,2019Jan,-0.2340,0.4866,0.4866
26,2018Dec,-0.1952,0.6015,0.6015
27,2018Nov,-0.0439,0.8297,0.8297
28,2018Oct,0.0167,0.9456,0.9456
29,2018Sep,-0.1141,0.6809,0.6809
30,2018Aug,-0.0375,0.6547,0.6547
31,2018Jul,-0.1877,0.5096,0.5096
32,2018Jun,-0.1197,0.5730,0.5730
33,2018May,-0.2517,0.3644,0.3644
34,2018Apr,-0.3844,0.2211,0.2211
35,2018Mar,-0.3634,0.3042,0.3042
36,2018Feb,-0.3338,0.3501,0.3501
37,2018Jan,-0.3679,0.1956,0.1956
38,2017Dec,-0.4652,0.0423,0.0423
39,2017Nov,-0.4823,0.0522,0.0522
40,2017Oct,-0.4213,0.1548,0.1548
41,2017Sep,-0.4281,0.1343,0.1343
42,2017Aug,-0.4247,0.1770,0.1770
43,2017Jul,-0.3694,0.2580,0.2580
44,2017Jun,-0.3937,0.1280,0.1280
45,2017May,-0.3757,0.2347,0.2347
46,2017Apr,-0.3469,0.2224,0.2224
47,2017Mar,-0.3689,0.2545,0.2545
48,2017Feb,-0.3788,0.2241,0.2241
49,2017Jan,-0.4086,0.1227,0.1227
50,2016Dec,-0.4179,0.0886,0.0886
51,2016Nov,-0.3021,0.1447,0.1447
52,2016Oct,-0.3962,-0.0404,-0.0404
53,2016Sep,-0.3993,-0.0773,-0.0773
54,2016Aug,-0.3780,-0.1072,-0.1072
55,2016Jul,-0.3617,-0.0642,-0.0642
56,2016Jun,-0.3041,0.0668,0.0668
57,2016May,-0.2800,0.1195,0.1195
58,2016Apr,-0.2393,0.0775,0.0775
59,2016Mar,-0.2494,0.0496,0.0496
60,2016Feb,-0.2289,0.1498,0.1498
61,2016Jan,-0.2046,0.2117,0.2117
62,2015Dec,-0.1402,0.2946,0.2946
63,2015Nov,-0.1442,0.2606,0.2606
64,2015Oct,-0.0963,0.2824,0.2824
65,2015Sep,-0.0384,0.4005,0.4005
66,2015Aug,-0.0478,0.4512,0.4512
67,2015Jul,-0.0034,0.5350,0.5350
68,2015Jun,0.0507,0.6253,0.6253
69,2015May,-0.0231,0.4072,0.4072
70,2015Apr,-0.0377,0.2152,0.2152
71,2015Mar,0.0159,0.2494,0.2494
72,2015Feb,0.0897,0.4111,0.4111
73,2015Jan,0.1708,0.4809,0.4809
74,2014Dec,0.2393,0.5699,0.5699
75,2014Nov,0.2341,0.6391,0.6391
76,2014Oct,0.2239,0.6664,0.6664
77,2014Sep,0.1398,0.6467,0.6467
78,2014Aug,0.1840,0.7256,0.7256
79,2014Jul,0.2477,0.8217,0.8217
80,2014Jun,0.3099,0.9244,0.9244
81,2014May,0.4358,1.1345,1.1345
82,2014Apr,0.4602,1.2446,1.2446
83,2014Mar,0.5040,1.3278,1.3278
84,2014Feb,0.5250,1.4594,1.4594
85,2014Jan,0.6077,1.6394,1.6394
86,2013Dec,0.6946,1.8022,1.8022
87,2013Nov,0.6440,1.6859,1.6859
88,2013Oct,0.8930,1.9524,1.9524
89,2013Sep,1.0695,2.1041,2.1041
90,2013Aug,1.0392,1.9666,1.9666
91,2013Jul,1.0414,1.8648,1.8648
92,2013Jun,1.0546,1.8768,1.8768
93,2013May,0.7602,1.5159,1.5159
94,2013Apr,0.8709,1.7280,1.7280
95,2013Mar,1.0175,1.9058,1.9058
96,2013Feb,1.1023,2.0289,2.0289
97,2013Jan,0.9046,1.7917,1.7917
98,2012Dec,1.0408,1.7671,1.7671
99,2012Nov,1.2109,1.9836,1.9836
100,2012Oct,1.3054,2.0280,2.0280
101,2012Sep,1.3147,2.1343,2.1343
102,2012Aug,1.6701,2.4108,2.4108
103,2012Jul,1.9133,2.6601,2.6601
104,2012Jun,2.1238,2.9075,2.9075
105,2012May,1.7722,2.7846,2.7846
106,2012Apr,1.6901,2.7292,2.7292
107,2012Mar,6.1202,3.5387,3.5387
108,2012Feb,13.5587,5.9446,5.9446
109,2012Jan,11.5892,5.6753,5.6753
110,2011Dec,10.2185,5.7862,5.7862
111,2011Nov,8.7518,5.8855,5.8855
112,2011Oct,6.3560,4.2701,4.2701
113,2011Sep,5.4085,3.9817,3.9817
114,2011Aug,4.2073,3.6673,3.6673
115,2011Jul,4.1355,4.3655,4.3655
116,2011Jun,3.5544,4.1485,4.1485
117,2011May,3.5727,4.1626,4.1626
118,2011Apr,3.3025,4.2586,4.2586
119,2011Mar,2.8100,3.9802,3.9802
120,2011Feb,2.4576,3.9369,3.9369
121,2011Jan,2.2808,3.6413,3.6413
122,2010Dec,2.2277,3.4829,3.4829
123,2010Nov,2.0055,3.2103,3.2103
124,2010Oct,1.6019,2.7048,2.7048
125,2010Sep,1.8283,2.6658,2.6658
126,2010Aug,1.6886,2.5593,2.5593
127,2010Jul,1.7933,2.6934,2.6934
128,2010Jun,1.8143,2.6819,2.6819
129,2010May,1.8395,2.6270,2.6270
130,2010Apr,1.7425,2.6958,2.6958
131,2010Mar,1.3949,2.6000,2.6000
132,2010Feb,1.6238,2.7422,2.7422
133,2010Jan,1.5023,2.7198,2.7198
134,2009Dec,1.3806,2.6433,2.6433
135,2009Nov,1.3378,2.6420,2.6420
136,2009Oct,1.3882,2.6676,2.6676
137,2009Sep,1.2761,2.6862,2.6862
138,2009Aug,1.4263,2.8187,2.8187
139,2009Jul,1.3821,2.8664,2.8664
140,2009Jun,1.6712,3.1432,3.1432
141,2009May,1.5438,2.9906,2.9906
142,2009Apr,1.7079,2.9868,2.9868
143,2009Mar,1.7407,3.0032,3.0032
144,2009Feb,1.8137,2.9982,2.9982
145,2009Jan,2.1330,3.1471,3.1471
146,2008Dec,2.6226,3.2890,3.2890
147,2008Nov,2.7974,3.4410,3.4410
148,2008Oct,3.2713,3.8765,3.8765
149,2008Sep,4.0946,4.2061,4.2061
150,2008Aug,4.2612,4.2836,4.2836
151,2008Jul,4.6128,4.6990,4.6990
152,2008Jun,4.7240,4.7505,4.7505
153,2008May,4.1346,4.1987,4.1987
154,2008Apr,3.8634,4.0028,4.0028
155,2008Mar,3.5431,3.6520,3.6520
156,2008Feb,3.3991,3.6390,3.6390
157,2008Jan,3.7376,3.8615,3.8615
158,2007Dec,4.0573,4.1393,4.1393
159,2007Nov,3.9406,3.9991,3.9991
160,2007Oct,4.1084,4.2114,4.2114
161,2007Sep,4.0984,4.1930,4.1930
162,2007Aug,4.1860,4.2737,4.2737
163,2007Jul,4.4836,4.5539,4.5539
164,2007Jun,4.4541,4.5735,4.5735
165,2007May,4.2580,4.3054,4.3054
166,2007Apr,4.1072,4.1512,4.1512
167,2007Mar,3.9393,3.9464,3.9464
168,2007Feb,3.9522,4.0238,4.0238
169,2007Jan,3.9335,4.0152,4.0152
170,2006Dec,3.7922,3.8295,3.8295
171,2006Nov,3.7106,3.7277,3.7277
172,2006Oct,3.6850,3.7653,3.7653
173,2006Sep,3.6224,3.6955,3.6955
174,2006Aug,3.5859,3.7540,3.7540
175,2006Jul,3.5844,3.8399,3.8399
176,2006Jun,3.4744,3.7796,3.7796
177,2006May,3.3790,3.7412,3.7412
178,2006Apr,3.3678,3.7130,3.7130
179,2006Mar,3.2200,3.4727,3.4727
180,2006Feb,2.9736,3.2569,3.2569
181,2006Jan,2.8626,3.1005,3.1005
182,2005Dec,2.7999,3.0743,3.0743
183,2005Nov,2.7317,3.1043,3.1043
184,2005Oct,2.4529,2.8521,2.8521
185,2005Sep,2.2124,2.5992,2.5992
186,2005Aug,2.2393,2.7047,2.7047
187,2005Jul,2.1869,2.6553,2.6553
188,2005Jun,2.0736,2.5775,2.5775
189,2005May,2.2185,2.7401,2.7401
190,2005Apr,2.3443,2.8931,2.8931
191,2005Mar,2.4943,3.0800,3.0800
192,2005Feb,2.4547,2.9672,2.9672
193,2005Jan,2.3900,2.9228,2.9228
194,2004Dec,2.3612,2.9316,2.9316
195,2004Nov,2.4136,3.0774,3.0774
196,2004Oct,2.4716,3.1821,3.1821
197,2004Sep,2.5954,3.3506,3.3506
198,2004Aug,2.5327,3.3321,3.3321
199,2004Jul,2.6984,3.4858,3.4858
200,2004Jun,2.7367,3.6046,3.6046
201,2004May,2.5469,3.4986,3.4986
202,2004Apr,2.3879,3.3080,3.3080
203,2004Mar,2.1603,3.0611,3.0611
204,2004Feb,2.3764,3.2798,3.2798
205,2004Jan,2.4085,3.3713,3.3713
206,2003Dec,2.5815,3.5888,3.5888
207,2003Nov,2.7002,3.6962,3.6962
208,2003Oct,2.5867,3.5013,3.5013
209,2003Sep,2.5299,3.4247,3.4247
210,2003Aug,2.6320,3.4688,3.4688
211,2003Jul,2.3006,3.1494,3.1494
212,2003Jun,2.0757,2.7920,2.7920
213,2003May,2.3060,3.0226,3.0226
214,2003Apr,2.5898,3.3758,3.3758
215,2003Mar,2.4999,3.2630,3.2630
216,2003Feb,2.4501,3.1752,3.1752
217,2003Jan,2.6360,3.4028,3.4028
218,2002Dec,2.8376,3.6332,3.6332
219,2002Nov,3.0415,3.8051,3.8051
220,2002Oct,3.1281,3.8555,3.8555
221,2002Sep,3.1931,3.8517,3.8517
222,2002Aug,3.4655,4.1548,4.1548
223,2002Jul,3.8032,4.4765,4.4765
224,2002Jun,4.1012,4.7024,4.7024
225,2002May,4.2525,4.8867,4.8867
226,2002Apr,4.2074,4.8568,4.8568
227,2002Mar,4.2460,4.8959,4.8959
228,2002Feb,3.9619,4.5975,4.5975
229,2002Jan,3.8411,4.4786,4.4786
230,2001Dec,3.6574,4.3267,4.3267
231,2001Nov,3.3581,3.9784,3.9784
232,2001Oct,3.4384,4.0544,4.0544
233,2001Sep,3.7730,4.2918,4.2918
234,2001Aug,4.1071,4.4877,4.4877
235,2001Jul,4.3271,4.7020,4.7020
236,2001Jun,4.3415,4.6958,4.6958
237,2001May,4.5101,4.7998,4.7998
238,2001Apr,4.4516,4.6623,4.6623
239,2001Mar,4.3741,4.5579,4.5579
240,2001Feb,4.5173,4.6924,4.6924
241,2001Jan,4.4916,4.6661,4.6661
242,2000Dec,4.7364,4.8178,4.8178
243,2000Nov,5.1168,5.1928,5.1928
244,2000Oct,5.1684,5.2434,5.2434
245,2000Sep,5.2220,5.3285,5.3285
246,2000Aug,5.2833,5.3485,5.3485
247,2000Jul,5.1898,5.3229,5.3229
248,2000Jun,5.0204,5.1933,5.1933
249,2000May,5.0022,5.3383,5.3383
250,2000Apr,4.5759,5.0591,5.0591
251,2000Mar,4.5880,5.1218,5.1218
252,2000Feb,4.5451,5.2263,5.2263
253,2000Jan,4.3800,5.1399,5.1399
254,1999Dec,4.1763,4.7880,4.7880
255,1999Nov,3.9876,4.6656,4.6656
256,1999Oct,4.0733,4.8734,4.8734
257,1999Sep,3.6613,4.5476,4.5476
258,1999Aug,3.5580,4.3894,4.3894
259,1999Jul,3.2938,4.1275,4.1275
260,1999Jun,3.0793,3.7721,3.7721
261,1999May,2.8001,3.3673,3.3673
262,1999Apr,2.8256,3.3037,3.3037
263,1999Mar,3.0843,3.5291,3.5291
264,1999Feb,3.0502,3.4316,3.4316
265,1999Jan,2.9967,3.3010,3.3010
266,1998Dec,3.1600,3.3800,3.3800
267,1998Nov,3.3300,3.6200,3.6200
268,1998Oct,3.3900,3.7700,3.7700
269,1998Sep,3.5500,3.7700,3.7700
270,1998Aug,3.6800,4.0100,4.0100
271,1998Jul,4.0400,4.4100,4.4100
272,1998Jun,4.0800,4.5000,4.5000
273,1998May,4.1300,4.5800,4.5800
274,1998Apr,4.2600,4.7500,4.7500
275,1998Mar,4.1700,4.6100,4.6100
276,1998Feb,4.0800,4.5500,4.5500
277,1998Jan,4.1100,4.6100,4.6100
278,1997Dec,4.3300,4.8700,4.8700
279,1997Nov,4.4200,5.1100,5.1100
280,1997Oct,4.5600,5.2000,5.2000
281,1997Sep,4.3300,5.0100,5.0100
282,1997Aug,4.4200,5.1500,5.1500
283,1997Jul,4.2700,4.9300,4.9300
284,1997Jun,4.1200,4.9300,4.9300
285,1997May,4.3700,5.2700,5.2700
286,1997Apr,4.3900,5.2500,5.2500
287,1997Mar,4.5400,5.4200,5.4200
288,1997Feb,4.2700,4.9400,4.9400
289,1997Jan,4.1300,4.9600,4.9600
290,1996Dec,4.1700,5.0600,5.0600
291,1996Nov,4.3000,5.1200,5.1200
292,1996Oct,4.5700,5.5100,5.5100
293,1996Sep,4.7800,5.7600,5.7600
294,1996Aug,5.1000,6.1700,6.1700
295,1996Jul,5.2000,6.2700,6.2700
296,1996Jun,5.1900,6.3600,6.3600
297,1996May,5.0800,6.2100,6.2100
298,1996Apr,5.0500,6.2100,6.2100
299,1996Mar,5.5700,6.6300,6.6300
300,1996Feb,5.5100,6.5200,6.5200
301,1996Jan,5.3000,6.0900,6.0900
302,1995Dec,5.6900,6.4800,6.4800
303,1995Nov,6.0400,6.8000,6.8000
304,1995Oct,6.3900,7.2000,7.2000
305,1995Sep,6.5400,7.4000,7.4000
306,1995Aug,6.5800,7.4100,7.4100
307,1995Jul,6.8900,7.6400,7.6400
308,1995Jun,7.1800,7.9900,7.9900
309,1995May,6.9700,7.6300,7.6300
